ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE,ShortSale
559900,4,3.25,2762,4791,2014,0,4,Garage,11,N,Y,44.92218,-93.155106,N
699900,5,3.75,4500,14810,1927,87,2,Garage,77,N,N,44.945347,-93.196625,N
155900,4,1.5,1806,5227,1910,104,1,Garage,2,N,Y,44.980534,-93.1101,N
520000,4,3.5,2907,4791,2013,1,2,Garage,57,N,Y,44.920876,-93.155418,N
129900,2,1,1101,,1909,105,1,Garage,69,Y,Y,44.964123,-93.155716,N
225000,3,1.75,1252,4791,1925,89,2,Garage,65,N,Y,44.923096,-93.155838,N
279900,3,1.75,1400,4791,1929,85,2,Garage,12,N,N,44.928528,-93.155869,N
119000,2,1,644,5662,1900,114,2,Garage,57,Y,N,45.001488,-93.257919,N
129900,3,1.5,1008,4791,1900,114,2,Garage,77,Y,Y,44.958683,-93.156013,N
324900,4,3.5,2908,4791,2004,10,2,Garage,65,Y,N,44.920376,-93.156189,N
499000,3,2.5,1820,4791,2013,1,2,Garage,92,N,Y,44.920879,-93.156189,N
289900,3,1.75,1604,4791,1925,89,2,Garage,65,Y,N,44.92128,-93.156647,N
159900,4,1,1740,4791,1889,125,2,Garage,86,Y,N,44.959591,-93.157021,N
144850,4,1,1498,4791,1952,62,1,Garage,33,N,Y,44.96067,-93.043449,N
182500,4,1.5,2288,9583,1958,56,4,Garage,89,Y,Y,44.982147,-93.042671,N
162900,4,1.75,1677,6098,1963,51,1,Garage,19,Y,Y,44.982059,-93.077019,N
58895,4,1,1589,15245,1914,100,2,Garage,92,Y,N,44.969845,-93.042847,N
40000,4,1,1720,3920,1890,124,1,Garage,119,N,N,44.965683,-93.094833,Y
179900,4,2,3123,4791,1961,53,2,Garage,93,Y,N,44.98222,-93.12336,N
195000,3,1,1585,5227,1914,100,2,Garage,23,N,Y,44.934498,-93.157745,N
119000,3,1.5,1412,6969,1922,92,2,Garage,119,Y,N,44.961594,-93.042603,N
199900,3,1.5,1270,4791,1917,97,4,Garage,5,N,Y,44.928535,-93.15831,N
159900,3,2.5,1996,3484,2000,14,2,Garage,43,N,N,44.959732,-93.042038,N
239900,4,2,2294,8276,1915,99,6,Garage,43,Y,N,44.982903,-93.130943,N
124900,3,1,1238,4791,1925,89,1,Garage,20,N,Y,44.983269,-93.024872,N
179000,3,1,1012,3484,1957,57,1,Garage,6,N,N,44.930885,-93.159065,N
149900,3,1,1548,4791,1888,126,2,Garage,137,Y,Y,44.959579,-93.159027,N
179900,3,1.75,1647,5227,1925,89,4,Garage,89,N,N,44.98341,-93.166573,N
294900,4,1.5,2034,10454,1932,82,4,Garage,106,Y,N,44.982029,-93.159378,N
149900,3,1.5,1800,4791,1903,111,2,Garage,106,N,N,44.962662,-93.159721,N
139900,3,2,1760,14374,1960,54,1,Garage,19,Y,Y,45.005249,-93.298431,N
99000,2,1,900,,1921,93,2,Garage,11,N,Y,44.993523,-93.309697,N
129875,1,1,1076,,1900,114,3,Garage,99,Y,N,45.002598,-93.259262,N
135000,6,2,1876,5227,2002,12,1,Garage,30,Y,Y,44.993893,-93.30481,N
189000,5,3.25,2234,5662,2005,9,2,Garage,99,N,Y,44.969025,-93.040009,N
179900,3,1.5,1628,4791,2013,1,4,Garage,119,Y,N,44.960258,-93.039954,N
159900,2,1,1149,4791,1947,67,1,Garage,137,N,Y,44.945572,-93.160873,N
154900,3,1.75,1876,7405,1941,73,2,Garage,72,Y,Y,44.984421,-93.107513,N
189900,4,1.75,1802,7840,1953,61,2,Garage,15,N,N,44.984417,-93.120239,N
749000,5,3.5,3327,12196,1910,104,3,Garage,65,N,N,44.940914,-93.161057,N
749900,3,2.25,2079,7840,1926,88,2,Garage,92,N,N,44.91563,-93.297585,N
189500,2,1,1280,5227,1926,88,1,Garage,15,N,N,44.985172,-93.160156,N
479900,4,2.25,2696,7405,1916,98,2,Garage,100,Y,N,44.938694,-93.162125,N
174900,3,2,1932,4356,1911,103,1,Garage,93,Y,Y,44.957241,-93.162109,N
88000,2,1,905,4791,1952,62,1,Garage,137,Y,N,44.985416,-93.035103,Y
109900,2,1.75,1374,12196,1900,114,2,Garage,42,Y,Y,44.971729,-93.038544,Y
104900,3,1.5,1140,19602,1955,59,1,Garage,137,Y,N,44.947453,-93.03846,N
146000,2,1.75,2195,10454,1953,61,2,Garage,98,Y,Y,44.948544,-93.038376,N
