,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale,SquaredBEDS,cubedBEDS,quadraBEDS,SquaredBATHS,cubedBATHS,quadraBATHS,SquaredSQFT,cubedSQFT,quadraSQFT,SquaredLotSize,cubedLotSize,quadraLotSize,SquaredYearBuilt,cubedYearBuilt,quadraYearBuilt,SquaredAge,cubedAge,quadraAge,SquaredParkingSpots,cubedParkingSpots,quadraParkingSpots,SquaredDOM,cubedDOM,quadraDOM
29,259800,3,1.5,1295,4356.0,1909,105,1,1,51,0,1,0,9,27,81,2.25,3.375,5.0625,1677025,2171747375,2812412850625,18974736.0,82653950016.0,360040606269696.0,3644281,6956932429,13280784006961,11025,1157625,121550625,1,1,1,2601,132651,6765201
30,199900,3,1.0,1600,6098.0,1922,92,2,1,117,0,1,0,9,27,81,1.0,1.0,1.0,2560000,4096000000,6553600000000,37185604.0,226757813192.0,1382769144844816.0,3694084,7100029448,13646256599056,8464,778688,71639296,4,8,16,13689,1601613,187388721
31,186900,2,1.0,938,5662.0,1926,88,1,1,86,1,0,0,4,8,16,1.0,1.0,1.0,879844,825293672,774125464336,32058244.0,181513777528.0,1027731008363536.0,3709476,7144450776,13760212194576,7744,681472,59969536,1,1,1,7396,636056,54700816
32,123900,4,1.0,1075,5227.0,1922,92,3,1,15,0,0,0,16,64,256,1.0,1.0,1.0,1155625,1242296875,1335469140625,27321529.0,142809632083.0,746465946897841.0,3694084,7100029448,13646256599056,8464,778688,71639296,9,27,81,225,3375,50625
34,699900,6,4.25,5223,26136.0,1912,102,12,1,44,1,0,0,36,216,1296,18.0625,76.765625,326.25390625,27279729,142482024567,744183614313441,683090496.0,17853253203456.0,4.66612625725526e+17,3655744,6989782528,13364464193536,10404,1061208,108243216,144,1728,20736,1936,85184,3748096
36,149990,3,2.0,1220,4791.0,2014,0,1,1,104,0,1,0,9,27,81,4.0,8.0,16.0,1488400,1815848000,2215334560000,22953681.0,109971085671.0,526871471449761.0,4056196,8169178744,16452725990416,0,0,0,1,1,1,10816,1124864,116985856
37,499999,3,2.5,2402,6969.0,1931,83,2,1,56,1,1,0,9,27,81,6.25,15.625,39.0625,5769604,13858588808,33288330316816,48566961.0,338463151209.0,2358749700775521.0,3728761,7200237491,13903658595121,6889,571787,47458321,4,8,16,3136,175616,9834496
38,129900,3,2.25,1496,3484.0,2006,8,2,1,63,0,1,0,9,27,81,5.0625,11.390625,25.62890625,2238016,3348071936,5008715616256,12138256.0,42289683904.0,147337258721536.0,4024036,8072216216,16192865729296,64,512,4096,4,8,16,3969,250047,15752961
39,129900,3,1.25,964,8276.0,1970,44,2,1,5,0,0,1,9,27,81,1.5625,1.953125,2.44140625,929296,895841344,863591055616,68492176.0,566841248576.0,4691178173214976.0,3880900,7645373000,15061384810000,1936,85184,3748096,4,8,16,25,125,625
40,169900,3,1.5,1480,4791.0,1926,88,3,1,45,0,0,0,9,27,81,2.25,3.375,5.0625,2190400,3241792000,4797852160000,22953681.0,109971085671.0,526871471449761.0,3709476,7144450776,13760212194576,7744,681472,59969536,9,27,81,2025,91125,4100625
41,850000,4,3.25,3646,8712.0,1932,82,2,1,137,1,0,1,16,64,256,10.5625,34.328125,111.56640625,13293316,48467430136,176712250275856,75898944.0,661231600128.0,5760649700315136.0,3732624,7211429568,13932481925376,6724,551368,45212176,4,8,16,18769,2571353,352275361
42,129900,2,1.5,1781,3920.0,1923,91,1,1,19,0,0,1,4,8,16,2.25,3.375,5.0625,3171961,5649262541,10061336585521,15366400.0,60236288000.0,236126248960000.0,3697929,7111117467,13674678889041,8281,753571,68574961,1,1,1,361,6859,130321
43,129900,2,1.5,1407,4791.0,1909,105,2,1,33,1,0,0,4,8,16,2.25,3.375,5.0625,1979649,2785366143,3919010163201,22953681.0,109971085671.0,526871471449761.0,3644281,6956932429,13280784006961,11025,1157625,121550625,4,8,16,1089,35937,1185921
44,76500,3,1.0,1108,2613.0,1890,124,1,1,36,0,0,1,9,27,81,1.0,1.0,1.0,1227664,1360251712,1507158896896,6827769.0,17840960397.0,46618429517361.0,3572100,6751269000,12759898410000,15376,1906624,236421376,1,1,1,1296,46656,1679616
45,369900,3,2.75,1870,6098.0,1922,92,1,1,89,1,0,0,9,27,81,7.5625,20.796875,57.19140625,3496900,6539203000,12228309610000,37185604.0,226757813192.0,1382769144844816.0,3694084,7100029448,13646256599056,8464,778688,71639296,1,1,1,7921,704969,62742241
46,129900,3,1.0,1005,4791.0,1920,94,2,1,77,1,0,0,9,27,81,1.0,1.0,1.0,1010025,1015075125,1020150500625,22953681.0,109971085671.0,526871471449761.0,3686400,7077888000,13589544960000,8836,830584,78074896,4,8,16,5929,456533,35153041
48,99900,4,1.75,1900,4791.0,1926,88,1,1,119,1,0,0,16,64,256,3.0625,5.359375,9.37890625,3610000,6859000000,13032100000000,22953681.0,109971085671.0,526871471449761.0,3709476,7144450776,13760212194576,7744,681472,59969536,1,1,1,14161,1685159,200533921
49,119900,3,2.0,1696,6969.0,1912,102,2,1,112,1,0,0,9,27,81,4.0,8.0,16.0,2876416,4878401536,8273769005056,48566961.0,338463151209.0,2358749700775521.0,3655744,6989782528,13364464193536,10404,1061208,108243216,4,8,16,12544,1404928,157351936
50,134900,3,1.0,1110,6534.0,1949,65,3,1,8,0,1,0,9,27,81,1.0,1.0,1.0,1232100,1367631000,1518070410000,42693156.0,278957081304.0,1822705569240336.0,3798601,7403473349,14429369557201,4225,274625,17850625,9,27,81,64,512,4096
51,549000,4,1.5,2012,7840.0,1923,91,1,1,47,1,0,0,16,64,256,2.25,3.375,5.0625,4048144,8144865728,16387469844736,61465600.0,481890304000.0,3778019983360000.0,3697929,7111117467,13674678889041,8281,753571,68574961,1,1,1,2209,103823,4879681
52,124900,3,2.25,2179,8712.0,1911,103,5,1,113,1,0,0,9,27,81,5.0625,11.390625,25.62890625,4748041,10345981339,22543893337681,75898944.0,661231600128.0,5760649700315136.0,3651921,6978821031,13336526990241,10609,1092727,112550881,25,125,625,12769,1442897,163047361
