,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale,SquaredBEDS,cubedBEDS,quadraBEDS,SquaredBATHS,cubedBATHS,quadraBATHS,SquaredSQFT,cubedSQFT,quadraSQFT,SquaredLotSize,cubedLotSize,quadraLotSize,SquaredYearBuilt,cubedYearBuilt,quadraYearBuilt,SquaredAge,cubedAge,quadraAge,SquaredParkingSpots,cubedParkingSpots,quadraParkingSpots,SquaredDOM,cubedDOM,quadraDOM
189,224900,0.8049713193116634,0.02437858508604207,-109.21032504780123,-156.30401529636674,19.74474187380497,-19.74474187380497,3.115678776290631,1,-26.896749521988525,0,0,0,0.64797882491436,0.5216043695773338,0.41987655753739483,0.0005943154107973928,1.4488568810070287e-05,3.5321080751127384e-07,11926.895097046401,-1302540.0903594643,142250826.6559495,24430.945197766847,-3818654.831896447,596871083.2562871,389.8548316631874,7697.583019445323,151986.78977113217,389.8548316631874,-7697.583019445323,151986.78977113217,9.707454237027882,30.245309138120334,94.2346677639906,723.43513484859,-19458.053617428515,523358.3943333975
190,129900,0.8049713193116634,-0.47562141491395793,-229.21032504780123,-592.3040152963667,-31.25525812619503,31.25525812619503,-1.884321223709369,0,68.10325047801147,1,0,0,0.64797882491436,0.5216043695773338,0.41987655753739483,0.2262157303247553,-0.10759304573285447,0.051173556646362424,52537.373108518696,-12042108.367361182,2760175573.1437035,350824.04653619864,-207794491.42590988,123077511628.03287,976.8911605350805,-30532.98538372217,954316.3395315765,976.8911605350805,30532.98538372217,954316.3395315765,3.5506664741215737,-6.690596195500594,12.607232410450928,4638.05272567077,315866.4665065803,21511533.08610206
191,149000,-0.19502868068833656,0.02437858508604207,-245.21032504780123,-1028.3040152963667,-8.25525812619503,8.25525812619503,0.11567877629063106,1,68.10325047801147,1,0,1,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.0005943154107973928,1.4488568810070287e-05,3.5321080751127384e-07,60128.103510048335,-14744031.80620679,3615388831.7150874,1057409.1478746305,-1087338072.5705922,1118114106008.9521,68.1492867301091,-562.5899530731283,4644.325281822623,68.1492867301091,562.5899530731283,4644.325281822623,0.013381579284097866,0.0015479647164205,0.00017906666413659717,4638.05272567077,315866.4665065803,21511533.08610206
192,464000,-0.19502868068833656,0.02437858508604207,154.78967495219877,-156.30401529636674,-32.25525812619503,32.25525812619503,0.11567877629063106,1,-60.896749521988525,0,0,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.0005943154107973928,1.4488568810070287e-05,3.5321080751127384e-07,23959.84347180735,3708736.3829066213,574074099.1935093,24430.945197766847,-3818654.831896447,596871083.2562871,1040.4016767874705,-33558.424639706,1082435.6490621804,1040.4016767874705,33558.424639706,1082435.6490621804,0.013381579284097866,0.0015479647164205,0.00017906666413659717,3708.4141023438096,-225830.3647142409,13752335.154462444
193,149900,-0.19502868068833656,-0.7256214149139579,-468.21032504780123,278.69598470363326,-16.25525812619503,16.25525812619503,0.11567877629063106,1,8.103250478011475,0,1,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.5265264377817342,-0.38205885877278806,0.2772300896831225,219220.9084813677,-102641492.81733546,48057806715.39619,77671.45188992778,21646721.7678243,6032854438.689366,264.2334167492296,-4295.182394825192,69819.29852697204,264.2334167492296,4295.182394825192,69819.29852697204,0.013381579284097866,0.0015479647164205,0.00017906666413659717,65.6626683093932,532.0810483655994,4311.586009509389
194,159900,-0.19502868068833656,0.27437858508604207,-365.21032504780123,-592.3040152963667,13.74474187380497,-13.74474187380497,1.115678776290631,1,15.103250478011475,0,1,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.07528360795381843,0.020656209830541002,0.0056676216265442335,133378.58152152062,-48711235.111889206,17789846008.692924,350824.04653619864,-207794491.42590988,123077511628.03287,188.91792917752772,2596.628171878887,35689.98396472538,188.91792917752772,-2596.628171878887,35689.98396472538,1.24473913186536,1.3887290314406073,1.5493755063969301,228.10817500155383,3445.1749031305435,52033.339502539515
195,97000,-0.19502868068833656,-0.7256214149139579,-695.2103250478012,-592.3040152963667,12.74474187380497,-12.74474187380497,-0.8843212237093689,1,-19.896749521988525,1,1,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.5265264377817342,-0.38205885877278806,0.2772300896831225,483317.39605306945,-336007244.0113113,233595705327.5196,350824.04653619864,-207794491.42590988,123077511628.03287,162.4284454299178,2070.1086099677186,26382.999884779783,162.4284454299178,-2070.1086099677186,26382.999884779783,0.7820240267028358,-0.6915604442639799,0.6115615783405176,395.8806415407506,-7876.7379653404405,156721.48234671628
196,159777,-0.19502868068833656,0.02437858508604207,-263.21032504780123,-156.30401529636674,21.74474187380497,-21.74474187380497,0.11567877629063106,1,-11.896749521988525,0,1,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.0005943154107973928,1.4488568810070287e-05,3.5321080751127384e-07,69279.67521176918,-18235125.831695866,4799673397.448225,24430.945197766847,-3818654.831896447,596871083.2562871,472.83379915840726,10281.648911910106,223571.801626573,472.83379915840726,-10281.648911910106,223571.801626573,0.013381579284097866,0.0015479647164205,0.00017906666413659717,141.5326491889342,-1683.7784765842225,20031.490786437917
197,164900,-0.19502868068833656,-0.22562141491395793,-208.21032504780123,714.6959847036333,29.74474187380497,-29.74474187380497,-0.8843212237093689,1,-66.89674952198853,0,0,0,0.03803618629103314,-0.007418147230755987,0.0014467514675661776,0.05090502286777636,-0.011485263285655085,0.0025913213531688338,43351.53945651105,-9026238.121562745,1879355973.249434,510790.35055149597,365059812.5645155,260906782216.52014,884.7496691392868,26316.650531482435,782781.9770420773,884.7496691392868,-26316.650531482435,782781.9770420773,0.7820240267028358,-0.6915604442639799,0.6115615783405176,4475.175096607672,-299374.6675048042,20027192.145297486
198,149990,0.8049713193116634,0.02437858508604207,-75.21032504780123,-592.3040152963667,16.74474187380497,-16.74474187380497,-0.8843212237093689,1,-42.896749521988525,0,1,0,0.64797882491436,0.5216043695773338,0.41987655753739483,0.0005943154107973928,1.4488568810070287e-05,3.5321080751127384e-07,5656.592993795918,-425434.1977265061,31997044.297461063,350824.04653619864,-207794491.42590988,123077511628.03287,280.38638042035757,4694.9975650693705,78616.52232522947,280.38638042035757,-4694.9975650693705,78616.52232522947,0.7820240267028358,-0.6915604442639799,0.6115615783405176,1840.1311195522228,-78935.64372304802,3386082.5371445166
