,ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots,HasGarage,DOM,BeenReduced,SoldPrev,ShortSale
152,209900,3,1.0,1072,4791.0,1920,94,1,1,68,1,0,0
153,84900,2,1.75,1122,4356.0,1916,98,0,0,8,0,1,0
154,379900,4,2.0,2032,5227.0,1916,98,1,1,100,1,0,0
155,114900,3,1.5,1438,4791.0,1941,73,2,1,137,0,1,0
156,263525,5,3.25,2598,10890.0,2004,10,3,1,119,1,0,1
157,84900,2,1.75,1131,3920.0,1904,110,2,1,12,0,0,0
158,152900,4,1.0,1300,5227.0,1909,105,2,1,77,1,0,0
159,130000,3,1.5,1512,6098.0,2009,5,2,1,137,0,1,0
160,159000,4,1.0,1260,5227.0,1932,82,1,1,119,0,0,0
161,107900,4,2.5,2117,6098.0,1959,55,2,1,13,0,0,0
162,159900,4,1.75,1778,8276.0,1958,56,2,1,57,1,0,0
163,244900,3,1.75,1816,4791.0,1931,83,1,1,8,0,0,0
164,167900,3,1.75,1794,7840.0,1955,59,1,1,119,0,0,0
165,40000,5,1.0,1694,5662.0,1922,92,1,1,15,1,0,0
166,135000,3,1.0,1334,5662.0,1964,50,4,1,65,0,1,0
167,154900,2,1.0,1112,6098.0,1914,100,1,1,137,1,0,0
168,199900,2,1.75,1384,5227.0,1931,83,1,1,113,1,0,0
169,146900,3,1.75,2692,6534.0,1975,39,5,1,137,1,1,0
170,159900,3,2.25,1651,5662.0,2013,1,2,1,106,1,0,0
171,224900,3,1.5,1625,5227.0,1934,80,2,1,74,0,0,0
172,89000,3,1.0,1103,7840.0,1890,124,2,0,43,1,0,0
173,119900,1,1.75,851,3049.0,1918,96,1,1,21,0,0,0
174,115000,3,1.0,888,6098.0,1955,59,2,1,14,0,0,0
175,169900,4,2.5,1196,8276.0,1923,91,2,1,10,0,1,0
176,174900,3,1.0,1686,7405.0,1951,63,2,1,37,0,0,0
177,120000,3,1.0,1140,7448.0,1974,40,1,1,64,0,0,0
178,239741,4,2.0,1759,4791.0,2012,2,2,1,137,0,0,0
179,165000,3,2.0,2085,6534.0,1960,54,3,1,6,0,0,0
180,92000,4,2.0,1690,6969.0,1953,61,2,1,4,0,0,1
181,169900,3,1.0,1345,6098.0,1955,59,2,1,70,0,0,0
183,139000,3,1.0,1272,4791.0,1966,48,1,1,5,0,0,0
184,227900,4,0.75,1920,5227.0,1900,114,4,1,109,1,0,0
185,94900,5,2.0,1820,5227.0,1940,74,2,1,77,1,1,0
186,209900,3,1.0,1401,5227.0,1927,87,1,1,68,0,0,0
187,210000,4,2.0,1555,4356.0,1982,32,5,1,110,1,0,0
188,178000,3,1.5,1531,6098.0,1939,75,1,1,5,0,0,0
189,224900,4,1.75,1680,6534.0,1953,61,5,1,42,0,0,0
190,129900,4,1.25,1560,6098.0,1902,112,0,0,137,1,0,0
191,149000,3,1.75,1544,5662.0,1925,89,2,1,137,1,0,1
192,464000,3,1.75,1944,6534.0,1901,113,2,1,8,0,0,0
193,149900,3,1.0,1321,6969.0,1917,97,2,1,77,0,1,0
194,159900,3,2.0,1424,6098.0,1947,67,3,1,84,0,1,0
195,97000,3,1.0,1094,6098.0,1946,68,1,1,49,1,1,0
196,159777,3,1.75,1526,6534.0,1955,59,2,1,57,0,1,0
197,164900,3,1.5,1581,7405.0,1963,51,1,1,2,0,0,0
198,149990,4,1.75,1714,6098.0,1950,64,1,1,26,0,1,0
199,152500,5,1.5,1547,6098.0,1952,62,3,1,64,0,1,0
201,44000,3,1.0,1311,5227.0,1900,114,0,0,3,0,1,0
202,99900,4,1.25,1008,4356.0,1940,74,1,1,13,0,0,0
203,142800,4,1.75,1650,5227.0,1954,60,2,1,20,1,1,0
204,99900,2,2.5,1126,5227.0,1880,134,6,1,137,1,0,0
205,139900,3,1.0,1220,4791.0,1941,73,1,1,85,0,1,0
206,182500,4,1.75,1778,6969.0,1908,106,5,1,85,1,0,0
207,169900,3,1.0,1453,4791.0,1939,75,2,1,137,1,1,0
208,324900,3,1.75,2336,8712.0,1983,31,6,1,134,1,0,0
209,69000,2,1.0,832,6969.0,1926,88,1,1,70,1,0,0
211,194900,2,1.0,1135,5227.0,1919,95,2,1,89,0,0,0
212,189000,4,1.5,1460,10454.0,1898,116,5,1,77,1,0,0
213,35900,2,1.0,734,6534.0,1913,101,0,0,8,0,0,0
214,299900,3,2.0,1400,5227.0,1924,90,2,1,9,0,0,0
215,168797,3,1.75,1306,5227.0,1920,94,1,1,5,1,1,0
216,175000,3,1.75,1150,10454.0,1968,46,2,1,2,0,1,0
217,179900,2,1.0,1344,4791.0,1937,77,3,1,103,1,0,0
218,289900,3,2.0,1635,5227.0,1921,93,1,1,2,0,0,0
219,39900,2,1.75,1808,6098.0,1907,107,2,1,137,1,0,0
220,329900,3,1.5,1550,6534.0,1915,99,1,1,75,1,0,0
221,149900,4,1.0,1369,4791.0,1915,99,1,1,1,0,0,0
222,84900,3,1.75,1133,8276.0,1915,99,1,1,57,1,1,1
223,120000,3,1.0,1694,4791.0,1900,114,2,1,57,0,1,0
224,204900,4,1.5,2524,9147.0,1963,51,2,1,9,0,1,0
225,145000,4,2.0,1964,7840.0,1957,57,1,1,8,0,0,0
226,269900,4,1.75,1406,5227.0,1918,96,2,1,74,1,1,0
227,194900,4,1.5,1408,4791.0,1912,102,0,0,119,1,1,0
228,149900,3,0.75,1224,3920.0,1886,128,2,1,103,1,0,0
229,74900,3,1.5,1178,5227.0,1920,94,4,1,137,1,1,0
230,139900,2,1.0,738,2613.0,1922,92,1,1,83,0,0,0
231,169900,4,2.0,1385,4356.0,1900,114,1,1,50,1,0,0
232,1195000,5,3.25,6247,18295.0,1908,106,3,1,137,1,0,0
233,99900,3,1.0,1241,5662.0,1917,97,1,1,137,1,0,0
234,129900,3,1.0,1408,7405.0,1941,73,2,1,30,1,0,0
235,1100000,4,1.5,1334,5662.0,1900,114,1,1,138,0,0,0
236,299900,3,2.0,1644,4356.0,1898,116,2,1,10,0,1,0
237,259900,3,1.75,1692,5227.0,1919,95,2,1,76,0,0,0
238,189900,4,2.0,2230,11761.0,1964,50,2,1,15,0,0,0
239,99000,3,1.0,949,10018.0,1908,106,1,1,11,0,0,0
242,145000,3,1.25,1580,6534.0,1908,106,0,0,6,0,0,0
243,259900,4,1.75,2758,6534.0,1879,135,2,1,119,1,0,0
244,169900,3,1.5,1503,9147.0,1900,114,2,1,117,1,1,0
245,157000,4,1.5,1702,9626.0,1907,107,2,1,119,1,1,0
246,162990,4,1.75,2102,6098.0,1917,97,2,1,15,0,1,0
247,70000,2,1.0,1000,7405.0,1940,74,1,1,137,1,1,1
248,117500,3,1.0,1176,4791.0,1957,57,1,1,57,1,0,0
249,165000,3,1.75,1246,4791.0,1955,59,1,1,137,0,1,0
250,104500,2,1.0,702,6098.0,1909,105,1,1,111,1,0,0
251,125000,3,1.0,1240,5227.0,1948,66,1,1,77,1,0,0
253,98850,2,1.0,730,4356.0,1922,92,1,1,20,0,1,0
254,199786,3,2.0,1403,3484.0,1983,31,2,1,75,1,0,0
255,140000,3,2.0,1650,7405.0,1917,97,2,1,26,0,1,0
257,28250,3,1.0,1597,6534.0,1914,100,3,0,137,1,0,1
258,72900,3,1.0,1177,4791.0,1939,75,2,1,77,1,0,0
259,409900,3,2.25,2218,10454.0,1954,60,2,1,7,0,0,0
260,750000,4,3.25,3460,4791.0,2003,11,2,1,113,0,0,0
261,129500,3,1.75,1533,4791.0,1917,97,2,1,72,1,0,0
262,84900,2,1.0,940,6534.0,1926,88,1,1,33,1,0,1
263,39353,1,1.5,972,3920.0,1915,99,3,1,77,1,0,1
264,99900,2,1.0,1218,7405.0,1890,124,2,1,137,1,0,0
265,384900,4,2.0,2468,6098.0,1926,88,2,1,119,1,0,0
266,214900,3,1.0,1529,4791.0,1925,89,1,1,114,1,0,0
267,499900,4,2.25,2085,9583.0,1938,76,2,1,92,0,0,0
268,129850,3,1.0,1123,4791.0,1940,74,0,0,22,0,1,0
269,129850,2,1.5,1527,4356.0,1914,100,3,1,49,0,1,0
270,149900,4,1.5,1192,5662.0,1952,62,1,1,4,0,1,0
271,329900,3,2.75,1859,5227.0,1922,92,2,1,5,0,1,0
272,145000,3,1.75,1628,4791.0,1961,53,2,1,57,0,0,1
273,129500,4,1.75,1422,4791.0,1930,84,1,1,137,1,1,0
274,62000,2,1.0,728,4791.0,1921,93,2,1,41,1,0,0
275,76000,2,1.0,660,4791.0,1925,89,1,1,119,1,0,0
276,128000,3,1.75,1645,4791.0,1938,76,2,1,137,0,0,1
277,129000,2,1.75,1194,5227.0,1900,114,3,1,18,0,0,0
278,146900,3,2.0,2020,5227.0,1930,84,1,1,137,1,0,0
279,239900,2,1.0,1324,5227.0,2004,10,2,1,137,0,0,0
280,109900,2,1.0,1086,4791.0,1951,63,1,1,99,1,0,0
281,155900,3,1.5,1255,5227.0,1908,106,2,1,6,0,0,0
282,199850,2,1.0,826,5227.0,1922,92,1,1,35,0,0,0
283,1799000,5,4.25,5702,27442.0,1928,86,3,1,135,0,0,0
284,449900,4,1.75,2514,6098.0,1927,87,1,1,77,1,0,0
285,165000,3,1.75,1529,4791.0,1967,47,2,1,11,0,0,0
286,279000,3,1.5,1568,5662.0,1912,102,2,1,118,1,0,0
288,150000,3,2.0,1486,5227.0,1923,91,1,1,7,0,1,0
289,299800,4,1.75,1742,6098.0,1932,82,1,1,119,1,0,0
290,179500,3,1.25,1248,5619.0,1905,109,4,1,119,0,0,0
291,294999,4,2.0,2176,5227.0,1895,119,1,1,135,1,0,0
292,309900,5,2.75,2480,7405.0,1949,65,1,1,119,1,0,0
293,359900,3,1.5,1806,5227.0,1935,79,2,1,137,1,0,0
294,112900,2,1.0,860,4791.0,1925,89,2,1,119,1,0,0
295,119900,3,1.5,1308,5227.0,1924,90,2,1,8,0,1,0
297,159900,4,2.0,1915,5662.0,1951,63,1,1,119,1,1,0
298,429900,4,2.0,2460,9147.0,1954,60,3,1,13,0,0,0
299,514000,3,3.25,3542,12196.0,1890,124,6,1,18,1,0,0
300,144900,3,1.0,1536,9147.0,1954,60,1,1,10,0,1,0
302,549900,4,3.5,2852,6098.0,2013,1,2,1,137,0,1,0
303,344900,4,1.75,1532,5227.0,1924,90,1,1,77,0,0,0
304,189900,3,1.0,1398,6098.0,1952,62,1,1,135,1,0,0
305,424000,4,3.0,3142,9583.0,1976,38,4,1,2,0,0,0
306,137000,3,1.75,1326,5662.0,1958,56,1,1,113,0,0,1
307,129900,3,1.0,1800,8276.0,1957,57,2,1,82,1,0,1
308,99900,4,1.75,1828,5227.0,1918,96,4,1,9,1,0,0
309,279900,3,1.75,1336,5227.0,1924,90,2,1,6,0,0,0
310,174900,3,2.5,1623,7840.0,1957,57,1,1,75,1,1,0
311,149900,3,1.5,1406,5227.0,1959,55,1,1,57,1,0,0
312,144900,4,2.0,1400,7405.0,1954,60,1,1,137,1,0,1
313,179900,3,1.0,1064,5227.0,1962,52,1,1,137,1,0,0
314,169900,3,1.5,1943,10454.0,1953,61,1,1,72,0,0,0
315,89900,3,1.0,624,10454.0,1921,93,0,0,136,1,1,0
316,179000,4,2.25,1857,6098.0,1959,55,3,1,72,1,1,0
317,314900,3,1.75,1725,4791.0,1922,92,4,1,57,1,0,0
318,135500,3,1.75,1200,4356.0,1954,60,1,1,70,1,1,0
319,164900,4,2.0,2009,9147.0,1964,50,2,1,65,1,0,1
320,650000,4,2.75,3880,9147.0,1961,53,2,1,137,1,0,0
321,149900,3,1.75,1647,6534.0,1954,60,2,1,43,0,1,0
322,178900,3,1.75,1387,136778.0,1964,50,2,1,20,0,0,0
323,799000,5,3.0,3927,125452.0,1952,62,2,1,137,1,0,0
324,82500,5,1.5,1320,6534.0,1901,113,0,0,23,0,0,0
325,69900,3,1.0,1600,5227.0,1909,105,2,1,137,1,1,0
326,149900,2,1.5,1296,1306.0,1870,144,0,0,16,0,1,0
327,100000,4,1.5,1964,5662.0,1930,84,2,1,114,0,0,0
328,105900,4,1.5,2198,4356.0,1910,104,1,1,36,0,0,0
329,329900,3,1.5,1691,4791.0,1924,90,1,1,82,1,0,0
330,1195000,6,4.5,6328,16988.0,1910,104,2,1,107,0,0,0
331,556877,4,3.25,2573,4791.0,1923,91,3,1,6,0,1,0
333,209900,2,1.0,814,2178.0,1924,90,1,1,13,0,1,0
334,1325000,4,5.75,6783,35283.0,1953,61,3,1,137,0,0,0
335,364500,4,2.25,2432,5662.0,1936,78,1,1,44,1,0,0
336,199900,5,2.25,2767,7840.0,1968,46,2,1,112,1,0,0
337,360000,3,1.0,1211,6534.0,1916,98,1,1,137,1,1,0
338,134900,4,1.0,1709,6534.0,1960,54,2,1,8,0,0,0
